drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y,drain TotalCurrent(pinfet_des) X,drain TotalCurrent(pinfet_des) Y
-,-,0.56581623,4.3862703e-12
-,-,0.57381623,5.7696626e-12
-,-,0.58181623,7.2854586e-12
-,-,0.58981623,9.0392148e-12
-,-,0.59081623,9.2827286e-12
-,-,0.59281356,1.159149e-11
-,-,0.59654724,1.289288e-11
-,-,0.60400465,1.5962768e-11
-,-,0.61200465,2.0124494e-11
-,-,0.62000465,2.5481688e-11
-,-,0.62800465,3.2502222e-11
-,-,0.63600465,4.192002e-11
-,-,0.64400465,5.485824e-11
-,-,0.65200465,7.3001168e-11
-,-,0.66000465,9.8853745e-11
-,-,0.66800465,1.3613196e-10
-,-,0.67600465,1.9033735e-10
-,-,0.68400465,2.6958706e-10
-,-,0.69200465,3.8578736e-10
-,-,0.70000465,5.5620735e-10
-,-,0.70800465,8.0540542e-10
-,-,0.71600465,1.1671325e-09
-,-,0.72400465,1.6853008e-09
-,-,0.73200465,2.4124347e-09
-,-,0.74000465,3.403802e-09
-,-,0.74800465,4.7066928e-09
-,-,0.75600465,6.3471837e-09
-,-,0.76400465,8.3181647e-09
-,-,0.77200465,1.0567263e-08
-,-,0.78000465,1.2963532e-08
-,-,0.78800465,1.488235e-08
-,-,0.79200465,1.3520683e-08
-,-,0.79998332,1.5809049e-08
-,-,0.80798332,1.7954145e-08
-,-,0.81598332,1.9753305e-08
-,-,0.82398332,2.101547e-08
-,-,0.83198332,2.1556215e-08
-,-,0.83998332,2.1156213e-08
-,-,0.84798332,1.9463212e-08
-,-,0.85598332,1.5872349e-08
-,-,0.86398332,1.5480861e-08
-,-,0.87198332,1.9238143e-08
-,-,0.87998332,2.4230405e-08
-,-,0.88798332,3.0027051e-08
-,-,0.89598332,3.6351808e-08
-,-,0.90398332,4.2923273e-08
-,-,0.91198332,4.9486805e-08
-,-,0.91998332,5.5856122e-08
-,-,0.92798332,6.1939999e-08
-,-,0.93598332,6.7725612e-08
-,-,0.94398332,7.3188438e-08
-,-,0.95198332,7.8210507e-08
-,-,0.95998332,8.2594433e-08
-,-,0.96798332,8.6097203e-08
-,-,0.97598332,8.8482899e-08
-,-,0.98398332,8.9547178e-08
-,-,0.99198332,8.9149794e-08
-,-,0.99998332,8.7280178e-08
-,-,1.0079833,8.409564e-08
-,-,1.0159833,7.9900824e-08
