drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y,drain TotalCurrent(pinfet_des) X,drain TotalCurrent(pinfet_des) Y
0.91470515,8.7268934e-08,0.016,1.4034315e-17
0.95047515,1.7110992e-07,0.024,1.4004303e-17
0.97523757,2.2553704e-07,0.032,1.406056e-17
1,2.6163153e-07,0.04,1.4182519e-17
-,-,0.048,1.4342923e-17
-,-,0.056,1.4633056e-17
-,-,0.064,1.5068733e-17
-,-,0.072,1.5668562e-17
-,-,0.08,1.6556966e-17
-,-,0.088,1.7780825e-17
-,-,0.096,1.9447883e-17
-,-,0.104,2.1680148e-17
-,-,0.112,2.4702456e-17
-,-,0.12,2.8693132e-17
-,-,0.128,3.3970134e-17
-,-,0.136,4.0885974e-17
-,-,0.144,4.992412e-17
-,-,0.152,6.1603141e-17
-,-,0.16,7.6709739e-17
-,-,0.168,9.6061663e-17
-,-,0.176,1.2087366e-16
-,-,0.184,1.5241861e-16
-,-,0.192,1.9233729e-16
-,-,0.2,2.4272305e-16
-,-,0.208,3.0596341e-16
-,-,0.216,3.8491181e-16
-,-,0.224,4.829469e-16
-,-,0.232,6.0409699e-16
-,-,0.24,7.530333e-16
-,-,0.248,9.351336e-16
-,-,0.256,1.1566553e-15
-,-,0.264,1.4247109e-15
-,-,0.272,1.7472797e-15
-,-,0.28,2.1331083e-15
-,-,0.288,2.591845e-15
-,-,0.296,3.1339956e-15
-,-,0.304,3.7707483e-15
-,-,0.312,4.514061e-15
-,-,0.32,5.3766516e-15
-,-,0.328,6.3716448e-15
-,-,0.336,7.5126581e-15
-,-,0.344,8.8136556e-15
-,-,0.352,1.0288735e-14
-,-,0.36,1.1951217e-14
-,-,0.368,1.381225e-14
-,-,0.376,1.5877644e-14
-,-,0.384,1.8136968e-14
-,-,0.392,2.0525891e-14
-,-,0.4,2.2501095e-14
-,-,0.408,2.4181549e-14
-,-,0.416,2.8183402e-14
-,-,0.424,3.2886652e-14
-,-,0.432,3.831058e-14
-,-,0.44,4.431309e-14
-,-,0.448,4.161587e-14
-,-,0.456,4.9897413e-14
-,-,0.464,6.1797535e-14
-,-,0.472,7.7440751e-14
-,-,0.48,9.7942504e-14
-,-,0.488,1.2484508e-13
-,-,0.496,1.6040942e-13
-,-,0.504,2.0807591e-13
-,-,0.512,2.7348847e-13
-,-,0.52,3.6685639e-13
-,-,0.528,5.0638017e-13
-,-,0.532,6.0326872e-13
-,-,0.53599467,9.8593193e-13
-,-,0.54181623,1.2976379e-12
-,-,0.54981623,2.0938239e-12
-,-,0.55781623,3.2284086e-12
-,-,0.56581623,4.3862703e-12
-,-,0.57381623,5.7696626e-12
-,-,0.58181623,7.2854586e-12
-,-,0.58981623,9.0392148e-12
-,-,0.59081623,9.2827286e-12
-,-,0.59281356,1.159149e-11
-,-,0.59654724,1.289288e-11
-,-,0.60400465,1.5962768e-11
-,-,0.61200465,2.0124494e-11
-,-,0.62000465,2.5481688e-11
-,-,0.62800465,3.2502222e-11
-,-,0.63600465,4.192002e-11
-,-,0.64400465,5.485824e-11
-,-,0.65200465,7.3001168e-11
-,-,0.66000465,9.8853745e-11
-,-,0.66800465,1.3613196e-10
-,-,0.67600465,1.9033735e-10
-,-,0.68400465,2.6958706e-10
-,-,0.69200465,3.8578736e-10
-,-,0.70000465,5.5620735e-10
-,-,0.70800465,8.0540542e-10
-,-,0.71600465,1.1671325e-09
-,-,0.72400465,1.6853008e-09
-,-,0.73200465,2.4124347e-09
-,-,0.74000465,3.403802e-09
-,-,0.74800465,4.7066928e-09
-,-,0.75600465,6.3471837e-09
-,-,0.76400465,8.3181647e-09
-,-,0.77200465,1.0567263e-08
-,-,0.78000465,1.2963532e-08
-,-,0.78800465,1.488235e-08
-,-,0.79200465,1.3520683e-08
-,-,0.79998332,1.5809049e-08
-,-,0.80798332,1.7954145e-08
-,-,0.81598332,1.9753305e-08
-,-,0.82398332,2.101547e-08
-,-,0.83198332,2.1556215e-08
-,-,0.83998332,2.1156213e-08
-,-,0.84798332,1.9463212e-08
-,-,0.85598332,1.5872349e-08
-,-,0.86398332,1.5480861e-08
-,-,0.87198332,1.9238143e-08
-,-,0.87998332,2.4230405e-08
-,-,0.88798332,3.0027051e-08
-,-,0.89598332,3.6351808e-08
-,-,0.90398332,4.2923273e-08
-,-,0.91198332,4.9486805e-08
-,-,0.91998332,5.5856122e-08
-,-,0.92798332,6.1939999e-08
-,-,0.93598332,6.7725612e-08
-,-,0.94398332,7.3188438e-08
-,-,0.95198332,7.8210507e-08
-,-,0.95998332,8.2594433e-08
-,-,0.96798332,8.6097203e-08
-,-,0.97598332,8.8482899e-08
-,-,0.98398332,8.9547178e-08
-,-,0.99198332,8.9149794e-08
-,-,0.99998332,8.7280178e-08
-,-,1.0079833,8.409564e-08
-,-,1.0159833,7.9900824e-08
-,-,1.0239833,7.5072839e-08
-,-,1.0319833,6.9969089e-08
-,-,1.0399833,6.4863746e-08
