Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-0.33589388,0,-1.4414138,0,-0.5,0,-0.5
0.0018749993,-0.34271185,0.0018749993,-1.4482318,0.0018749993,-0.49993927,0.0018749993,-0.75793804
0.001875,-0.34271186,0.001875,-1.4482318,0.001875,-0.49993927,0.001875,-0.75793814
0.0037499992,-0.34959925,0.0037499992,-1.4551192,0.0037499992,-0.49989281,0.0037499992,-0.77953228
0.0037499999,-0.34959925,0.0037499999,-1.4551192,0.0037499999,-0.49989281,0.0037499999,-0.77953229
0.0056249993,-0.356643,0.0056249993,-1.462163,0.0056249993,-0.49985743,0.0056249993,-0.79391335
0.0056250002,-0.356643,0.0056250002,-1.462163,0.0056250002,-0.49985743,0.0056250002,-0.79391336
0.0074999989,-0.36393387,0.0074999989,-1.4694538,0.0074999989,-0.49983079,0.0074999989,-0.80553432
0.0074999998,-0.36393387,0.0074999998,-1.4694538,0.0074999998,-0.49983079,0.0074999998,-0.80553432
0.0093749994,-0.37152461,0.0093749994,-1.4770446,0.0093749994,-0.49981108,0.0093749994,-0.81585268
0.0093750004,-0.37152461,0.0093750004,-1.4770446,0.0093750004,-0.49981108,0.0093750004,-0.81585268
0.01125,-0.37931093,0.01125,-1.4848309,0.01125,-0.49979686,0.01125,-0.82554892
0.01125,-0.37931093,0.01125,-1.4848309,0.01125,-0.49979686,0.01125,-0.82554893
0.013124999,-0.38676339,0.013124999,-1.4922834,0.013124999,-0.49978688,0.013124999,-0.83486788
0.013125,-0.38676339,0.013125,-1.4922834,0.013125,-0.49978688,0.013125,-0.83486789
0.014999999,-0.39260248,0.014999999,-1.4981224,0.014999999,-0.49977983,0.014999999,-0.84348002
0.015,-0.39260248,0.015,-1.4981224,0.015,-0.49977983,0.015,-0.84348002
0.016875001,-0.39544836,0.016875001,-1.5009683,0.016875001,-0.4997744,0.016875001,-0.84664839
0.018750001,-0.39451572,0.018750001,-1.5000357,0.018750001,-0.49976954,0.018750001,-0.84437136
0.02,-0.39134845,0.02,-1.4968684,0.02,-0.49976626,0.02,-0.83933325
0.02,-0.39134845,0.02,-1.4968684,0.02,-0.49976626,0.02,-0.83933325
0.020625001,-0.3875331,0.020625001,-1.4956935,0.020625001,-0.49976489,0.020625001,-0.83598444
0.022500001,-0.37612275,0.022500001,-1.4842831,0.022500001,-0.49976085,0.022500001,-0.82231468
0.024374999,-0.35662628,0.024374999,-1.4647867,0.024374999,-0.49975506,0.024374999,-0.80012706
0.026249999,-0.32604724,0.026249999,-1.4342076,0.026249999,-0.4997446,0.026249999,-0.76668341
0.028124999,-0.28056339,0.028124999,-1.3887238,0.028124999,-0.49971905,0.028124999,-0.7182978
0.029999999,-0.21523447,0.029999999,-1.3233948,0.029999999,-0.49962682,0.029999999,-0.65002395
0.031874999,-0.12353457,0.031874999,-1.2316949,0.031874999,-0.49902491,0.031874999,-0.55524046
0.033750001,0.0037150932,0.033750001,-1.1044453,0.033750001,-0.4907723,0.033750001,-0.42476986
0.035625,0.17902189,0.035625,-0.92913848,0.035625,-0.40847901,0.035625,-0.24670673
0.037500001,0.41720363,0.037500001,-0.69095675,0.037500001,-0.20304844,0.037500001,-0.076609113
0.039375,0.73112641,0.039375,-0.37703396,0.039375,0.088092037,0.039375,-1.1252833e-05
0.039999999,0.66367085,0.039999999,0.038129363,0.039999999,0.093141153,0.039999999,-6.6325896e-06
0.039999999,0.66367082,0.039999999,0.038129526,0.039999999,0.093141153,0.039999999,-6.6325778e-06
0.041250002,0.74751383,0.041250002,0.12197253,0.041250002,0.18281022,0.041250002,-6.1635731e-06
0.043125,0.7797299,0.043125,0.1541886,0.043125,0.23153418,0.043125,-5.4113402e-06
0.045000002,0.78757727,0.045000002,0.16203597,0.045000002,0.24375306,0.045000002,-4.6555451e-06
0.046875,0.79049115,0.046875,0.16494986,0.046875,0.22509548,0.046875,-3.9491615e-06
0.048749998,0.79183432,0.048749998,0.16629302,0.048749998,0.21097608,0.048749998,-3.3196607e-06
0.050625,0.79231749,0.050625,0.16677619,0.050625,0.20078873,0.050625,-2.7397979e-06
0.052499998,0.79246065,0.052499998,0.16691936,0.052499998,0.19247995,0.052499998,-2.1824582e-06
0.054375,0.79249832,0.054375,0.16695702,0.054375,0.18395187,0.054375,-1.6338642e-06
0.056249999,0.79250776,0.056249999,0.16696646,0.056249999,0.17302152,0.056249999,-1.0884144e-06
0.058125,0.79251033,0.058125,0.16696903,0.058125,0.15495208,0.058125,-5.4404233e-07
0.059999999,0.7925114,0.059999999,0.1669701,0.059999999,6.0243843e-08,0.059999999,-2.114539e-13

