OpticalGeneration(C5(optipin_des_3)) X,OpticalGeneration(C5(optipin_des_3)) Y
0,0
0.0018749993,0
0.001875,0
0.0037499992,0
0.0037499999,0
0.0056249993,0
0.0056250002,0
0.0074999989,0
0.0074999998,0
0.0093749994,0
0.0093750004,0
0.01125,0
0.01125,0
0.013124999,0
0.013125,0
0.014999999,4.0014021e+22
0.015,4.0014036e+22
0.016875001,4.0014036e+22
0.018750001,4.0014036e+22
0.02,4.0014036e+22
0.02,4.0014036e+22
0.020625001,4.0014036e+22
0.022500001,4.0014036e+22
0.024374999,4.0014036e+22
0.026249999,4.0014036e+22
0.028124999,4.0014036e+22
0.029999999,4.0014036e+22
0.031874999,4.0014036e+22
0.033750001,4.0014036e+22
0.035625,4.0014036e+22
0.037500001,4.0014036e+22
0.039375,4.0014036e+22
0.039999999,4.0014036e+22
0.039999999,4.0014036e+22
0.041250002,4.0014036e+22
0.043125,4.0014036e+22
0.045000002,4.0014036e+22
0.046875,1.4969733e+16
0.048749998,0
0.050625,0
0.052499998,0
0.054375,0
0.056249999,0
0.058125,0
0.059999999,0

