drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y,drain TotalCurrent(pinfet_des) X,drain TotalCurrent(pinfet_des) Y
-,-,0.904,1.1787686e-07
-,-,0.912,1.2144644e-07
-,-,0.92,1.2319355e-07
-,-,0.928,1.2297899e-07
-,-,0.936,1.2084234e-07
-,-,0.944,1.1702944e-07
-,-,0.952,1.119398e-07
-,-,0.96,1.0602943e-07
-,-,0.968,9.9720587e-08
-,-,0.976,9.3352102e-08
-,-,0.984,8.7169608e-08
-,-,0.992,8.1337228e-08
-,-,1,7.5948613e-08
-,-,1.008,7.0969907e-08
-,-,1.016,6.580417e-08
-,-,1.024,6.2064979e-08
-,-,1.032,6.3623388e-08
-,-,1.04,6.8531034e-08
-,-,1.048,7.5454647e-08
-,-,1.056,8.4419344e-08
-,-,1.064,9.556137e-08
-,-,1.072,1.0825195e-07
-,-,1.08,1.1834756e-07
-,-,1.088,1.2899101e-07
-,-,1.096,1.4065939e-07
-,-,1.104,1.5358092e-07
-,-,1.112,1.686379e-07
-,-,1.12,1.8819117e-07
-,-,1.128,2.1199321e-07
-,-,1.136,2.4146566e-07
-,-,1.144,2.7952688e-07
-,-,1.152,3.2631362e-07
-,-,1.156,3.4712359e-07
-,-,1.1639787,3.884772e-07
-,-,1.1719787,4.3298174e-07
-,-,1.1799787,4.8069583e-07
-,-,1.1879787,5.3080594e-07
-,-,1.1959787,5.8175547e-07
-,-,1.2,6.0740904e-07

