drain TotalCurrent(optipin_des) X,drain TotalCurrent(optipin_des) Y
-0.5,1.2797087e-17
-0.5,9.8833284e-13
-0.425,1.1062974e-12
-0.35,1.1392739e-12
-0.275,1.1490036e-12
-0.2,1.1540807e-12
-0.125,1.1578552e-12
-0.05,1.1610151e-12
0.025,1.1637256e-12
0.1,1.1659147e-12
0.175,1.1666112e-12
0.25,1.1618407e-12
0.325,1.150134e-12
0.4,1.1868493e-12
0.475,1.6258071e-12
0.5125,2.4859538e-12
0.585,9.9026115e-12
0.6225,2.515806e-11
0.6565,5.9546253e-11
0.68982,1.5004044e-10
0.7224736,4.5367085e-10
0.75447413,1.6114537e-09
0.76231426,2.2117697e-09
0.76424816,2.3809177e-09
0.76615627,2.1153028e-09
0.76887851,2.394739e-09
0.7742504,3.0625025e-09
0.78485093,4.9749685e-09
0.80576931,1.2451819e-08
0.84676933,5.2289942e-08
0.88426933,1.1272911e-07
0.90264433,6.5614932e-08
0.93792433,1.393052e-07
0.96896217,2.1187604e-07
1,2.6103324e-07

